MAG	abundance	domain	phylum	class	order	family	genus	species	completeness	contamination	community	MIMAG
MAG23037	4.41624	Bacteria	Actinomycetota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Rhodococcus	Rhodococcus erythropolis	100	0.15	S2C30	High quality
MAG23038	0.20910582	Unclassified Bacteria	NA	NA	NA	NA	NA	NA	12.1	0.17	S2C30	Low quality
MAG23039	0.53742	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Devosiaceae	Devosia	NA	89.54	4.16	S2C30	Medium quality
MAG23040	2.6038115	Bacteria	Actinomycetota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Gordonia	NA	100	1.21	S2C30	High quality
MAG23041	0.62303585	Unclassified Bacteria	NA	NA	NA	NA	NA	NA	25.74	1.52	S2C30	Low quality
MAG23042	0.40692607	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Achromobacter	NA	83.7	1.66	S2C30	Medium quality
MAG23043	5.7127566	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Kaistella	Kaistella soli	99.93	0	S2C30	High quality
MAG23044	0.4712039	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Micrococcaceae	Paenarthrobacter	Paenarthrobacter nicotinovorans	94.72	1.3	S2C30	High quality
MAG23045	1.8367755	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Devosiaceae	Devosia	NA	99.92	0.2	S2C30	High quality
MAG23046	0.8655234	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Microbacteriaceae	Microbacterium	Microbacterium sp001427525	99.73	0.71	S2C30	High quality
MAG23047	12.060839	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Pseudaminobacter	Pseudaminobacter sp900116595	51.12	0.46	S2C30	Medium quality
MAG23048	0.48760992	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Bosea	Bosea robiniae	82.26	1.56	S2C30	Medium quality
MAG23049	0.87417847	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis	NA	95.02	0.15	S2C30	High quality
MAG23050	0.29448214	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Chitinophaga	NA	72.85	3.71	S2C30	Medium quality
MAG23051	0.32337627	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Kaistiaceae	Kaistia	NA	46.79	1.85	S2C30	Low quality
